id,question,context,answer
1,Is accommodation provided by TARUMT?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
2,Does TARUMT provide hostel accommodation?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
3,Are there scholarships available for students?,"TARUMT provides various financial aid options including scholarships, study loans and bursaries to assist students who need financial support during their studies.","TARUMT offers scholarships, loans and bursaries."
4,Are hostel rooms available for students?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
5,How many intakes does TARUMT have yearly?,"TARUMT offers multiple intake periods each year including January, May/June, September and November. The May/June intake is usually the main intake with the widest range of programmes available.","TARUMT intakes are January, May/June, September and November."
6,Are there scholarships available for students?,"TARUMT provides various financial aid options including scholarships, study loans and bursaries to assist students who need financial support during their studies.","TARUMT offers scholarships, loans and bursaries."
7,How do I complete registration at TARUMT?,Students who are accepted into TARUMT must complete registration by confirming their offer and paying the required fees before the specified deadline.,Students must confirm their offer and pay fees to complete registration.
8,Are hostel rooms available for students?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
9,What months does TARUMT accept new students?,"TARUMT offers multiple intake periods each year including January, May/June, September and November. The May/June intake is usually the main intake with the widest range of programmes available.","TARUMT intakes are January, May/June, September and November."
10,What financial aid options are available at TARUMT?,"TARUMT provides various financial aid options including scholarships, study loans and bursaries to assist students who need financial support during their studies.","TARUMT offers scholarships, loans and bursaries."
11,Does TARUMT provide hostel accommodation?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
12,What should I do after receiving the offer letter?,Students who are accepted into TARUMT must complete registration by confirming their offer and paying the required fees before the specified deadline.,Students must confirm their offer and pay fees to complete registration.
13,Which documents must I prepare for TARUMT application?,"Applicants to TARUMT are required to submit necessary documents such as identification documents, academic transcripts, certificates and passport-sized photos during the application process.",Applicants must submit identification documents and academic results during application.
14,Are hostel rooms available for students?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
15,What is the main intake month at TARUMT?,"TARUMT offers multiple intake periods each year including January, May/June, September and November. The May/June intake is usually the main intake with the widest range of programmes available.","TARUMT intakes are January, May/June, September and November."
16,What is required to secure my place at TARUMT?,Students who are accepted into TARUMT must complete registration by confirming their offer and paying the required fees before the specified deadline.,Students must confirm their offer and pay fees to complete registration.
17,Does TARUMT help students with financial aid?,"TARUMT provides various financial aid options including scholarships, study loans and bursaries to assist students who need financial support during their studies.","TARUMT offers scholarships, loans and bursaries."
18,Are hostel rooms available for students?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
19,What financial aid options are available at TARUMT?,"TARUMT provides various financial aid options including scholarships, study loans and bursaries to assist students who need financial support during their studies.","TARUMT offers scholarships, loans and bursaries."
20,When should I apply for hostel?,TARUMT provides hostel accommodation for students. Applications for hostel rooms must be submitted early as rooms are allocated based on availability.,"Students can apply for hostel accommodation, subject to availability."
21,Do I need to submit academic certificates when applying?,"Applicants to TARUMT are required to submit necessary documents such as identification documents, academic transcripts, certificates and passport-sized photos during the application process.",Applicants must submit identification documents and academic results during application.
